City,Country,State,Founded,Mayor,Elevation,Population,Demonym(s)
Montgomery, United States, Alabama,,Steven Reed (D),240 ft (73 m),"205,764",
Juneau, United States, Alaska,,Beth Weldon,56 ft (17 m),"31,275",
Phoenix, United States, Arizona,,Kate Gallego,,"1,445,632",
Little Rock, United States, Arkansas,"June 1, 1821",Frank Scott Jr. (D),335 ft (102 m),"193,490",Little Rocker
Sacramento, United States, California,,Darrell Steinberg (D)[4],,"466,488",Sacramentan
Denver - Wikipedia, United States, Colorado,"November 17, 1858, as Denver City, K.T.[6]",Michael Hancock (D)[10],,"600,158",Denverite
Hartford,United States,Connecticut,,Luke Bronin (D),59 ft (18 m),"122,105",Hartfordite
Dover, United States, Delaware,1693,Robin Christiansen (D),30 ft (9 m),"36,047",
Tallahassee,United States,Florida,,John Dailey (D),,"181,376",
Atlanta - Wikipedia, United States, Georgia,,Keisha Lance Bottoms (D),"738 to 1,050 ft (225 to 320 m)","420,003",
Honolulu - Wikipedia, United States, Hawaii,,Kirk Caldwell (D),19 ft (6 m),"337,256 (55th)",Honolulan
Boise,United States,Idaho,1863,Lauren McLean (D),"2,730 ft (830 m)","205,671",
Springfield, United States, Illinois,"April 10, 1821[2]",Jim Langfelder (D),558 ft (170 m),"116,250",
Indianapolis - Wikipedia, United States, Indiana,"January 6, 1821[2]",Joe Hogsett (D),715 ft (218 m),"820,445",Indianapolitan[8]
Des Moines,United States,Iowa,1843,Frank Cownie (D),955 ft (291 m),"203,433",
Topeka,United States,Kansas,1854,Michelle De La Isla (D)[2],,"127,473",Topekan
Frankfort,United States,Kentucky,,William May,509 ft (155 m),"25,527",
Baton Rouge,United States,Louisiana,1699,,56 ft (17 m),"220,236",Baton Rougean
Augusta, United States, Maine,,David Rollins[2],68 ft (20 m),"19,136",
Annapolis,United States,Maryland,1649,Gavin Buckley (D),39 ft (12 m),"38,394",Annapolitan[5]
Boston - Wikipedia, United States, Massachusetts,,Marty Walsh (D),141 ft (43 m),"692,600",
Lansing, United States, Michigan,,Andy Schor (D),860 ft (262 m),"114,297",Lansingite
Saint Paul, United States, Minnesota,,Melvin Carter (DFL),795 ft (214 m),"285,068",
Jackson, United States, Mississippi,,Chokwe Antar Lumumba (D),279 ft (85 m),"173,514",Jacksonian
Jefferson City,United States,Missouri,1821,Carrie Tergin,630 ft (192 m),"43,079",
Helena,United States,Montana,"October 30, 1864",Wilmot Collins (D),"3,875 ft (1,181 m)","28,190",
Lincoln, United States, Nebraska,1856 (Lancaster),Leirion Gaylor Baird (D),"1,176 ft (358 m)","258,379 (US: 73rd)",Lincolnite
Carson City,United States,Nevada,1858; 162 years ago (1858),Bob Crowell (D),"4,802 ft (1,463 m)","55,274",
Concord, United States, New Hampshire,,Jim Bouley,288 ft (88 m),"42,695",
Trenton, United States, New Jersey,"June 3, 1719","Reed Gusciora (term ends June 30, 2022)[4][5]",,"84,913",
Santa Fe, United States, New Mexico,1610,Alan Webber (D),"7,199[1] ft (2,194 m)","67,947",
Albany, United States, New York,,Kathy Sheehan (D),,"97,856",Albanian[7]
Raleigh, United States, North Carolina,,Mary-Ann Baldwin (D),315 ft (96 m),"403,892",Raleighite
Bismarck,United States,North Dakota,"May 14, 1872",Steve Bakken,"1,686 ft (514 m)","61,272",
Columbus, United States, Ohio,,Andrew J. Ginther (D),902 ft (275 m),"787,033",Columbusite[14]
Oklahoma City - Wikipedia,United States,Oklahoma,"April 22, 1889[3]",David Holt (R),"1,201 ft (366 m)","579,999",
Salem,United States,Oregon,1842,Chuck Bennett (D),154 ft (46.7 m),"154,637",Salemite[4][5]
Harrisburg, United States, Pennsylvania,,Eric Papenfuse (D),320 ft (98 m),"49,528","Harrisburger, Harrisburgian"
Providence, United States, Rhode Island,,Jorge Elorza (D),23 m (75 ft),"178,042",
Columbia,United States,South Carolina,,Stephen K. Benjamin (D),,"129,272",
Pierre,United States,South Dakota,1880,Steve Harding,"1,453 ft (442 m)","13,646",
Nashville,United States,Tennessee,1779,John Cooper (D),597 ft (182 m),"694,144",Nashvillian
Austin, United States, Texas,,Steve Adler (D)[1][a],"289–1,330 ft (88–405 m)","790,390",Austinite
Salt Lake City - Wikipedia,United States,Utah,,Erin Mendenhall (D),"4,226 ft (1,288 m)","186,440",Salt Laker[5]
Montpelier, United States, Vermont,,Anne Watson[1],525 ft (160 m),"7,855",Montpelierite
Richmond, United States," Virginia
",,Levar Stoney (D),166.45 ft (45.7 m),"204,214",Richmonder
Olympia,United States,Washington,,Cheryl Selby (D),95 ft (29 m),"46,478",Olympian
Charleston,United States,West Virginia,1788,Amy Shuler Goodwin (D),"597–1,167 (varies due to mountains) ft (182–355 m)","51,400",
Madison,United States,Wisconsin,1836,Satya Rhodes-Conway (D),873 ft (226 m),"233,209",
Cheyenne,United States,Wyoming,1867,Marian Orr (R)[1],"6,062 ft (1,848 m)","59,466",
